"Lat" "Lon" "Ocean_depth" "d13C" "count" "stdev" "run.no"
53.54 -20.29 2196 1.15666666666667 3 0.0757187779440036 "3"
53.18 -19.15 2472 1.03333333333333 3 0.161658075373095 "3"
52.55 -20.33 2841 1.05 1 NA "3"
54.96 -19.76 1487 1.28 2 0.014142135623731 "3"
64.8 -29.6 1893 1.2075 4 0.0590903263374528 "3"
55.48 -14.68 2161 1.11666666666667 3 0.113724814061547 "3"
55.49 -14.7 2168 0.935 8 0.164924225024706 "3"
57.51 -15.85 1134 0.933333333333333 3 0.140118997046558 "3"
60.4 -23.64 1984 1.2 1 NA "3"
61 -24 1650 1.075 2 0.0212132034355964 "3"
54.25 -16.83 2393 0.975 2 0.00707106781186548 "3"
64.78 -29.57 1855 0.91 1 NA "3"
61 -21 2658 1.17 1 NA "3"
-44.07 -14.21 3770 -0.12 4 0.310161248385416 "3"
-40.94 9.89 4621 0.21 2 0.0848528137423857 "3"
-42.91 8.9 3702 0.3 1 NA "3"
-43.22 11.74 4610 0.03 1 NA "3"
-44.15 -14.23 3783 0.22 2 0.127279220613579 "3"
41.72 -32.85 3427 0.85 1 NA "3"
6.64 -21.9 3527 0.81 2 0.0141421356237309 "3"
4.23 -20.63 3792 0.805 2 0.0353553390593273 "3"
3.09 -20.02 4745 0.84 1 NA "3"
2.46 -19.76 5105 0.845 2 0.00707106781186548 "3"
2.47 -19.73 4998 0.885 2 0.0353553390593274 "3"
4.31 -20.21 4095 0.63 1 NA "3"
5.26 -21.71 3423 1.045 2 0.148492424049175 "3"
5.91 -44.2 4056 0.77 1 NA "3"
-21.74 5.42 3772 0.84 1 NA "3"
-21.59 5.03 4453 0.716666666666667 3 0.153079500042734 "3"
-3.48 -7.6 4033 0.87 1 NA "3"
1.66 -10.98 4588 0.945 2 0.0212132034355964 "3"
-1.67 -12.43 3225 0.9 1 NA "3"
-3.82 -14.9 3984 0.92 1 NA "3"
-3.56 -16.43 4675 -0.23 1 NA "3"
-24.48 7.53 4084 0.426666666666667 3 0.156311654502578 "3"
-24.69 7.24 3210 0.735 4 0.0967815409397198 "3"
12.44 -18.06 3223 0.86 2 0.169705627484771 "3"
14.42 -20.54 4202 0.743333333333334 6 0.106520733506049 "3"
-2.2 5.1 3891 0.24 1 NA "3"
49.88 -24.24 3883 0.87 2 0.0707106781186548 "3"
4.87 -43.21 3995 0.945 2 0.37476659402887 "3"
4.95 -42.89 4556 0.281428571428571 7 0.405356985525457 "3"
4.79 -43.04 4341 0.763333333333333 3 0.366787858759438 "3"
4.56 -43.38 3547 0.913333333333333 3 0.0416333199893226 "3"
4.76 -43.31 3810 0.84 2 0.0282842712474619 "3"
33.69 -57.63 4583 0.503 10 0.394463066853047 "3"
38.24 -10.39 4602 0.735 2 0.120208152801713 "3"
45.63 -22.75 3625 0.685 2 0.0212132034355964 "3"
5.46 -44.48 3326 0.88 1 NA "3"
5.46 -43.75 4012 1.14 1 NA "3"
5.98 -43.74 4369 0.64 1 NA "3"
-22.33 11.2 3204 0.75 1 NA "3"
-25.5 11.3 4194 0.412 1 NA "3"
1.37 -33.48 3824 0.95 1 NA "3"
36.05 -72.38 3942 0.903333333333333 6 0.242706956362331 "3"
11.65 -80.13 3237 0.829 1 NA "3"
41.75 -47.35 4100 0.515 2 0.360624458405139 "3"
6.13 -43.44 4503 0.7 1 NA "3"
49.87776 -24.23811 3871 0.855 2 0.233345237791561 "3"
5.45 -21.14 3160 0.94 1 NA "3"
4.92 -20.5 2937 1.11 3 0.13 "3"
-22.92 6.04 2505 0.905 2 0.0777817459305202 "3"
-5.78 -10.75 3125 0.9 2 0.0424264068711929 "3"
-23.43 11.7 2987 0.75 1 NA "3"
30.63 -12.4 2324 1.05 1 NA "3"
28.89 -13.23 1358 1.03666666666667 3 0.00577350269189626 "3"
20.75 -18.58 2278 0.88 3 0.0264575131106459 "3"
14.5 -17.95 2384 0.976666666666667 3 0.109696551146029 "3"
35.65 -8.06 1765 1.23 1 NA "3"
21.15 -18.57 2778 0.76 1 NA "3"
15.83 -17.86 2576 0.905 2 0.0353553390593274 "3"
23.14 -17.75 2136 1.02 2 0.0424264068711929 "3"
25.17 -16.85 2573 0.92 1 NA "3"
44.36 -26.54 3050 1.115 2 0.190918830920368 "3"
34.89 -7.82 2022 1.13 1 NA "3"
34.86 -8.13 2460 1.06 1 NA "3"
29.98 -10.65 1512 1.17 1 NA "3"
21.24 -18.06 1516 0.89 1 NA "3"
48.22 -27.06 2558 1.32 2 0 "3"
37.58 -31.84 2690 1.02333333333333 3 0.204287379280594 "3"
4.36 -43.7 3164 0.985 2 0.00707106781186548 "3"
4.34 -43.41 3063 1.255 2 0.332340187157677 "3"
4.34 -43.49 2816 1.24 1 NA "3"
-27.51 -46.47 1268 1.103 2 0.0367695526217005 "3"
12.09 -61.24 1299 0.91 1 NA "3"
40.58 -9.86 2465 1.13 1 NA "3"
37.8 -10.17 3146 0.9485 2 0.0210717820793592 "3"
-31.46 15.31 1372 0.38 1 NA "3"
18.08 -21.03 3082 1.09 2 0.0707106781186547 "3"
37.82 -9.5 1086 1.27 1 NA "3"
-27.7 -46.52 1567 1.09 2 0.0707106781186547 "3"
-26.7 -43.33 2438 1.328 2 0.0381837661840736 "3"
40.05 -32 2475 1.22 1 NA "3"
14.17 -18.58 3167 0.783333333333333 6 0.230448837416609 "3"
-26.95 -44.67 2069 1.282 1 NA "3"
18.43 -21.08 3093 1 2 0.0848528137423858 "3"
31.41415 -75.25807 3000 0.626666666666667 3 0.427122152707318 "3"
-36.2667 19.475 2488 0.87 1 NA "3"
54.63 -16.35 2209 0.736666666666667 3 0.0404145188432738 "4"
56.16 -31.99 2295 1.04 1 NA "4"
53.54 -20.29 2196 1.15666666666667 3 0.0757187779440036 "4"
53.18 -19.15 2472 1.03333333333333 3 0.161658075373095 "4"
52.55 -20.33 2841 1.05 1 NA "4"
54.96 -19.76 1487 1.28 2 0.014142135623731 "4"
64.8 -29.6 1893 1.2075 4 0.0590903263374528 "4"
55.48 -14.68 2161 1.11666666666667 3 0.113724814061547 "4"
55.49 -14.7 2168 0.935 8 0.164924225024706 "4"
57.51 -15.85 1134 0.933333333333333 3 0.140118997046558 "4"
60.4 -23.64 1984 1.2 1 NA "4"
61 -24 1650 1.075 2 0.0212132034355964 "4"
54.25 -16.83 2393 0.975 2 0.00707106781186548 "4"
64.78 -29.57 1855 0.91 1 NA "4"
61 -21 2658 1.17 1 NA "4"
-44.07 -14.21 3770 -0.12 4 0.310161248385416 "4"
-40.94 9.89 4621 0.21 2 0.0848528137423857 "4"
-42.91 8.9 3702 0.3 1 NA "4"
-43.22 11.74 4610 0.03 1 NA "4"
-44.15 -14.23 3783 0.22 2 0.127279220613579 "4"
41.72 -32.85 3427 0.85 1 NA "4"
6.64 -21.9 3527 0.81 2 0.0141421356237309 "4"
5.45 -21.14 3160 0.94 1 NA "4"
4.23 -20.63 3792 0.805 2 0.0353553390593273 "4"
3.09 -20.02 4745 0.84 1 NA "4"
2.46 -19.76 5105 0.845 2 0.00707106781186548 "4"
2.47 -19.73 4998 0.885 2 0.0353553390593274 "4"
4.31 -20.21 4095 0.63 1 NA "4"
4.92 -20.5 2937 1.11 3 0.13 "4"
5.26 -21.71 3423 1.045 2 0.148492424049175 "4"
5.91 -44.2 4056 0.77 1 NA "4"
-22.92 6.04 2505 0.905 2 0.0777817459305202 "4"
-21.74 5.42 3772 0.84 1 NA "4"
-21.59 5.03 4453 0.716666666666667 3 0.153079500042734 "4"
-3.48 -7.6 4033 0.87 1 NA "4"
1.66 -10.98 4588 0.945 2 0.0212132034355964 "4"
-1.67 -12.43 3225 0.9 1 NA "4"
-5.78 -10.75 3125 0.9 2 0.0424264068711929 "4"
-3.82 -14.9 3984 0.92 1 NA "4"
-3.56 -16.43 4675 -0.23 1 NA "4"
-24.48 7.53 4084 0.426666666666667 3 0.156311654502578 "4"
-24.69 7.24 3210 0.735 4 0.0967815409397198 "4"
-23.43 11.7 2987 0.75 1 NA "4"
30.63 -12.4 2324 1.05 1 NA "4"
28.89 -13.23 1358 1.03666666666667 3 0.00577350269189626 "4"
20.75 -18.58 2278 0.88 3 0.0264575131106459 "4"
14.5 -17.95 2384 0.976666666666667 3 0.109696551146029 "4"
12.44 -18.06 3223 0.86 2 0.169705627484771 "4"
35.65 -8.06 1765 1.23 1 NA "4"
21.15 -18.57 2778 0.76 1 NA "4"
15.83 -17.86 2576 0.905 2 0.0353553390593274 "4"
23.14 -17.75 2136 1.02 2 0.0424264068711929 "4"
25.17 -16.85 2573 0.92 1 NA "4"
44.36 -26.54 3050 1.115 2 0.190918830920368 "4"
34.89 -7.82 2022 1.13 1 NA "4"
34.86 -8.13 2460 1.06 1 NA "4"
29.98 -10.65 1512 1.17 1 NA "4"
21.24 -18.06 1516 0.89 1 NA "4"
14.42 -20.54 4202 0.743333333333334 6 0.106520733506049 "4"
