"Lat" "Lon" "Ocean_depth" "d13C" "weights" "run.no"
34.86 -8.13 2460 1.06 4.3 "2"
34.89 -7.82 2022 1.13 4.3 "2"
35.65 -8.06 1765 1.23 4.3 "2"
36.05 -72.38 3942 1.095 4.9 "2"
36.05 -72.38 3942 1.0675 4.9 "2"
37.8 -10.17 3146 0.9634 4.3 "2"
37.8 -10.17 3146 0.9336 4.3 "2"
37.82 -9.5 1086 1.206 4.3 "2"
37.82 -9.5 1086 1.19 4.3 "2"
38.24 -10.39 4602 0.791666666666667 4.3 "2"
38.24 -10.39 4602 0.763333333333333 4.3 "2"
40.05 -32 2475 1.22 4.3 "2"
40.05 -32 2475 1.25666666666667 4.3 "2"
40.58 -9.86 2465 1.13 4.3 "2"
40.58 -9.86 2465 1.04 4.3 "2"
41.72 -32.85 3427 0.9 4.3 "2"
41.72 -32.85 3427 0.85 4.3 "2"
41.75 -47.35 4100 0.77 4.9 "2"
41.75 -47.35 4100 0.26 4.9 "2"
44.36 -26.54 3050 1.034 4.3 "2"
44.36 -26.54 3050 1.088 4.3 "2"
49.87776 -24.23811 3871 1.02 4.3 "2"
49.87776 -24.23811 3871 0.69 4.3 "2"
49.88 -24.24 3883 0.82 4.3 "2"
49.88 -24.24 3883 0.92 4.3 "2"
52.55 -20.33 2841 1.095 4.3 "3"
52.55 -20.33 2841 1.14 4.3 "3"
53.18 -19.15 2472 1.155 4.3 "3"
53.18 -19.15 2472 1.23 4.3 "3"
53.54 -20.29 2196 1.19 4.3 "3"
53.54 -20.29 2196 1.15 4.3 "3"
54.25 -16.83 2393 0.9775 4.3 "3"
54.25 -16.83 2393 0.98 4.3 "3"
54.63 -16.35 2209 0.704 4.3 "3"
54.63 -16.35 2209 0.69 4.3 "3"
54.96 -19.76 1487 1.33 4.3 "3"
54.96 -19.76 1487 1.22 4.3 "3"
55.48 -14.68 2161 1.08 4.3 "3"
55.48 -14.68 2161 1.11 4.3 "3"
55.49 -14.7 2168 1.1 4.3 "3"
55.49 -14.7 2168 1.00666666666667 4.3 "3"
56.16 -31.99 2295 1 4.3 "3"
56.16 -31.99 2295 1.01166666666667 4.3 "3"
57.51 -15.85 1134 0.79 4.3 "3"
57.51 -15.85 1134 0.835 4.3 "3"
60.4 -23.64 1984 1.29 4.3 "3"
60.4 -23.64 1984 1.16 4.3 "3"
61 -24 1650 1.245 4.3 "3"
61 -24 1650 1.06 4.3 "3"
64.78 -29.57 1855 0.91 4.3 "3"
-44.15 -14.23 3783 -0.00999999999999998 0.7 "3"
-44.15 -14.23 3783 -0.15 0.7 "3"
-44.07 -14.21 3770 0.07 0.7 "3"
-44.07 -14.21 3770 -0.11 0.7 "3"
-43.22 11.74 4610 0.17 0.7 "3"
-43.22 11.74 4610 0.24 0.7 "3"
-42.91 8.9 3702 0.215 0.7 "3"
-42.91 8.9 3702 0.13 0.7 "3"
-40.94 9.89 4621 0.26 0.7 "3"
-40.94 9.89 4621 0.3 0.7 "3"
-25.5 11.3 4194 0.42 3.5 "3"
-25.5 11.3 4194 0.428 3.5 "3"
-24.69 7.24 3210 0.6875 3.5 "3"
-24.69 7.24 3210 0.69 3.5 "3"
-24.48 7.53 4084 0.385 3.5 "3"
-24.48 7.53 4084 0.426666666666667 3.5 "3"
-22.33 11.2 3204 0.516666666666667 3.5 "3"
-22.33 11.2 3204 0.4 3.5 "3"
-21.74 5.42 3772 0.758571428571429 3.5 "3"
-21.74 5.42 3772 0.677142857142857 3.5 "3"
-21.59 5.03 4453 0.6 3.5 "3"
-21.59 5.03 4453 0.658333333333333 3.5 "3"
-3.82 -14.9 3984 0.746 5 "3"
-3.82 -14.9 3984 0.572 5 "3"
-3.56 -16.43 4675 0.07 5 "3"
-3.56 -16.43 4675 0.22 5 "3"
-3.48 -7.6 4033 0.845 3.5 "3"
-3.48 -7.6 4033 0.82 3.5 "3"
-2.2 5.1 3891 0.83 3.5 "3"
-2.2 5.1 3891 0.535 3.5 "3"
-1.67 -12.43 3225 0.985 3.5 "3"
-1.67 -12.43 3225 1.07 3.5 "3"
1.37 -33.48 3824 0.896666666666667 4.9 "3"
1.37 -33.48 3824 0.87 4.9 "3"
1.66 -10.98 4588 0.935 4.3 "3"
1.66 -10.98 4588 0.93 4.3 "3"
2.46 -19.76 5105 0.682777777777778 4.3 "3"
2.46 -19.76 5105 0.642222222222222 4.3 "3"
2.47 -19.73 4998 0.9 4.3 "3"
2.47 -19.73 4998 0.91 4.3 "3"
3.09 -20.02 4745 0.712 4.3 "3"
3.09 -20.02 4745 0.68 4.3 "3"
4.23 -20.63 3792 0.83 4.3 "3"
4.23 -20.63 3792 0.83875 4.3 "3"
4.31 -20.21 4095 0.63 4.3 "3"
4.56 -43.38 3547 0.798333333333333 4.9 "3"
4.56 -43.38 3547 0.740833333333333 4.9 "3"
4.79 -43.04 4341 0.763333333333333 4.9 "3"
4.79 -43.04 4341 0.866666666666667 4.9 "3"
4.95 -42.89 4556 0.382222222222222 4.9 "3"
4.95 -42.89 4556 0.452777777777778 4.9 "3"
