"Lat" "Lon" "Ocean_depth" "d13C" "count" "stdev" "run.no"
-23.43 11.7 2987 0.39 1 NA "7"
25.17 -16.85 2573 0.703333333333333 3 0.0351188458428424 "7"
5.67 -19.85 2862 0.84 1 NA "7"
49.88 -24.24 3883 0.594 5 0.224899977767896 "7"
-31.46 15.31 1372 0.23 1 NA "7"
-22.33 11.2 3204 0.51 1 NA "7"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "7"
44.07 -40.02 3645 0.94 1 NA "7"
41.75 -47.35 4100 0.386 5 0.272635287517959 "7"
-20.1 9.19 2209 0.45 1 NA "7"
-27.91 -45.88 2504 0.44 1 NA "7"
-29.51 -8.31 4546 0.14 1 NA "7"
6.13 -43.44 4503 -0.34 1 NA "7"
-1.34 -11.9733 3911 0.23 1 NA "7"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "7"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "7"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "7"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "7"
56.16 -31.99 2295 0.9 1 NA "8"
53.54 -20.29 2196 0.88 1 NA "8"
53.18 -19.15 2472 0.8 1 NA "8"
57.51 -15.85 1134 0.3 1 NA "8"
60.4 -23.64 1984 0.91 1 NA "8"
61 -24 1650 -1.17 1 NA "8"
61 -21 2658 0.93 1 NA "8"
-40.94 9.89 4621 -0.4025 4 0.185180092522568 "8"
-44.15 -14.23 3783 0.31 1 NA "8"
5.91 -44.2 4056 1.1 1 NA "8"
-3.48 -7.6 4033 0.71 1 NA "8"
1.66 -10.98 4588 0.78 1 NA "8"
-5.78 -10.75 3125 0.68 1 NA "8"
-3.56 -16.43 4675 0.03 1 NA "8"
-23.43 11.7 2987 0.39 1 NA "8"
30.63 -12.4 2324 0.72 1 NA "8"
5.67 -19.85 2862 0.84 1 NA "8"
49.88 -24.24 3883 0.594 5 0.224899977767896 "8"
-31.46 15.31 1372 0.23 1 NA "8"
-22.33 11.2 3204 0.51 1 NA "8"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "8"
44.07 -40.02 3645 0.94 1 NA "8"
41.75 -47.35 4100 0.386 5 0.272635287517959 "8"
-20.1 9.19 2209 0.45 1 NA "8"
-27.91 -45.88 2504 0.44 1 NA "8"
-29.51 -8.31 4546 0.14 1 NA "8"
6.13 -43.44 4503 -0.34 1 NA "8"
-1.34 -11.9733 3911 0.23 1 NA "8"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "8"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "8"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "8"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "8"
56.16 -31.99 2295 0.9 1 NA "9"
53.54 -20.29 2196 0.88 1 NA "9"
53.18 -19.15 2472 0.8 1 NA "9"
57.51 -15.85 1134 0.3 1 NA "9"
60.4 -23.64 1984 0.91 1 NA "9"
61 -24 1650 -1.17 1 NA "9"
61 -21 2658 0.93 1 NA "9"
-40.94 9.89 4621 -0.4025 4 0.185180092522568 "9"
-44.15 -14.23 3783 0.31 1 NA "9"
5.91 -44.2 4056 1.1 1 NA "9"
-3.48 -7.6 4033 0.71 1 NA "9"
1.66 -10.98 4588 0.78 1 NA "9"
-5.78 -10.75 3125 0.68 1 NA "9"
-3.56 -16.43 4675 0.03 1 NA "9"
-23.43 11.7 2987 0.39 1 NA "9"
30.63 -12.4 2324 0.72 1 NA "9"
25.17 -16.85 2573 0.703333333333333 3 0.0351188458428424 "9"
49.88 -24.24 3883 0.594 5 0.224899977767896 "9"
-31.46 15.31 1372 0.23 1 NA "9"
-22.33 11.2 3204 0.51 1 NA "9"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "9"
44.07 -40.02 3645 0.94 1 NA "9"
41.75 -47.35 4100 0.386 5 0.272635287517959 "9"
-20.1 9.19 2209 0.45 1 NA "9"
-27.91 -45.88 2504 0.44 1 NA "9"
-29.51 -8.31 4546 0.14 1 NA "9"
6.13 -43.44 4503 -0.34 1 NA "9"
-1.34 -11.9733 3911 0.23 1 NA "9"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "9"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "9"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "9"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "9"
56.16 -31.99 2295 0.9 1 NA "10"
53.54 -20.29 2196 0.88 1 NA "10"
53.18 -19.15 2472 0.8 1 NA "10"
57.51 -15.85 1134 0.3 1 NA "10"
60.4 -23.64 1984 0.91 1 NA "10"
61 -24 1650 -1.17 1 NA "10"
61 -21 2658 0.93 1 NA "10"
-40.94 9.89 4621 -0.4025 4 0.185180092522568 "10"
-44.15 -14.23 3783 0.31 1 NA "10"
5.91 -44.2 4056 1.1 1 NA "10"
-3.48 -7.6 4033 0.71 1 NA "10"
1.66 -10.98 4588 0.78 1 NA "10"
-5.78 -10.75 3125 0.68 1 NA "10"
-3.56 -16.43 4675 0.03 1 NA "10"
-23.43 11.7 2987 0.39 1 NA "10"
30.63 -12.4 2324 0.72 1 NA "10"
25.17 -16.85 2573 0.703333333333333 3 0.0351188458428424 "10"
5.67 -19.85 2862 0.84 1 NA "10"
49.88 -24.24 3883 0.594 5 0.224899977767896 "10"
-31.46 15.31 1372 0.23 1 NA "10"
-22.33 11.2 3204 0.51 1 NA "10"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "10"
44.07 -40.02 3645 0.94 1 NA "10"
41.75 -47.35 4100 0.386 5 0.272635287517959 "10"
-20.1 9.19 2209 0.45 1 NA "10"
-27.91 -45.88 2504 0.44 1 NA "10"
-29.51 -8.31 4546 0.14 1 NA "10"
6.13 -43.44 4503 -0.34 1 NA "10"
-1.34 -11.9733 3911 0.23 1 NA "10"
31.41415 -75.25807 3000 0.75 2 0.197989898732233 "10"
37.799833 -10.1665 3146 0.28 4 0.122474487139159 "10"
33.683333 -57.616667 4584 0.5835 2 0.311834090503267 "10"
49.87776 -24.23811 3871 0.592 10 0.311334047108389 "10"
53.54 -20.29 2196 0.88 1 NA "11"
53.18 -19.15 2472 0.8 1 NA "11"
57.51 -15.85 1134 0.3 1 NA "11"
60.4 -23.64 1984 0.91 1 NA "11"
61 -24 1650 -1.17 1 NA "11"
61 -21 2658 0.93 1 NA "11"
-40.94 9.89 4621 -0.4025 4 0.185180092522568 "11"
-44.15 -14.23 3783 0.31 1 NA "11"
5.91 -44.2 4056 1.1 1 NA "11"
-3.48 -7.6 4033 0.71 1 NA "11"
1.66 -10.98 4588 0.78 1 NA "11"
-5.78 -10.75 3125 0.68 1 NA "11"
-3.56 -16.43 4675 0.03 1 NA "11"
-23.43 11.7 2987 0.39 1 NA "11"
30.63 -12.4 2324 0.72 1 NA "11"
25.17 -16.85 2573 0.703333333333333 3 0.0351188458428424 "11"
5.67 -19.85 2862 0.84 1 NA "11"
49.88 -24.24 3883 0.594 5 0.224899977767896 "11"
-31.46 15.31 1372 0.23 1 NA "11"
-22.33 11.2 3204 0.51 1 NA "11"
40.05 -32 2475 0.870443333333333 3 0.185707516361975 "11"
44.07 -40.02 3645 0.94 1 NA "11"
41.75 -47.35 4100 0.386 5 0.272635287517959 "11"
-20.1 9.19 2209 0.45 1 NA "11"
-27.91 -45.88 2504 0.44 1 NA "11"
