29.49			0.76
30.93			0.66
32.37			0.93
33.09			0.84
34.53			1.04
35.96			1.08
37.40			0.84
38.89			0.78
40.46			0.59
42.04			0.93
43.61			1.08
44.40			0.74
44.40			0.85
47.32			0.89
49.44			0.94
50.50			1.10
51.56			1.11
52.62			0.91
53.16			1.10
54.22			0.91
55.22			0.90
55.47			0.70
55.98			1.05
56.23			0.51
56.98			0.87
57.99			0.73
58.99			0.30
65.16			0.84
67.14			0.83
69.55			1.08
71.01			1.01
71.34			0.68
71.67			1.01
72.26			0.59
72.99			0.75
73.65			1.07
74.30			0.88
74.96			1.09
75.62			1.00
76.08			1.04
76.51			1.22
76.91			1.24
77.30			1.16
77.65			1.23
78.08			1.05
78.48			1.01
78.87			1.26
79.65			1.07
80.05			1.18
80.44			1.11
80.79			1.08
81.23			1.11
81.62			0.48
82.01			1.17
82.80			0.95
83.19			0.75
83.58			0.92
83.94			1.00
85.61			0.65
86.53			1.18
87.37			1.08
88.39			1.28
89.31			1.15
91.17			1.29
92.09			1.24
92.93			1.24
93.95			1.21
94.41			1.17
95.34			1.17
96.64			1.12
97.66			1.20
98.58			1.18
99.51			1.14
100.34			1.15
101.36			1.17
102.32			1.14
102.57			0.98
103.58			0.82
104.08			0.81
104.58			0.88
105.03			0.89
105.59			0.81
106.08			0.50
106.56			0.92
106.99			1.03
107.52			1.07
108.13			0.93
108.49			0.95
109.04			0.98
109.13			1.00
110.87			1.07
111.23			0.90
111.78			0.48
111.87			0.75
112.66			1.05
112.89			0.91
113.12			1.02
113.35			0.90
113.61			0.98
114.11			1.03
114.66			1.02
114.86			1.09
114.93			0.91
115.09			0.74
115.09			0.98
115.85			0.88
116.08			0.86
116.31			0.64
117.73			0.20
118.81			1.03
119.11			0.85
119.61			0.63
119.81			0.62
119.99			0.73
120.16			0.68
120.36			0.70
120.74			0.43
121.49			0.59
122.24			0.94
122.42			0.82
122.99			0.82
123.19			0.88
123.75			0.58
125.20			0.91
125.67			0.89
126.17			0.88
126.33			0.79
126.75			0.59
126.93			0.60
127.13			0.78
127.33			0.80
127.50			0.70
127.68			0.69
128.25			0.18
128.43			0.52
129.62			0.32
132.06			0.34
132.62			0.33
134.49			0.56
135.06			1.00
135.71			0.42
136.36			0.86
137.00			0.79
137.77			0.92
138.09			0.58
138.66			0.56
139.11			0.44
139.55			0.39
140.57			0.63
141.46			0.00
141.46			0.65
142.36			-0.10
143.38			0.52
144.27			0.60
145.16			0.25
146.05			0.80
146.82			0.34
147.64			0.17
148.31			0.34
148.31			-0.07
148.98			0.49
149.65			0.50
152.24			0.64
154.53			0.15
154.53			0.72
155.88			0.84
157.31			0.72
158.56			0.82
158.75			0.26
158.75			0.67
160.76			0.58
162.68			0.43
164.59			0.70
166.75			-0.11
168.72			0.10
170.91			0.24
172.55			0.73
172.55			0.60
173.10			0.34
173.98			0.53
174.20			0.26
174.96			0.82
175.29			0.86
177.48			0.79
179.67			0.78
181.86			0.78
182.41			0.72
182.96			0.89
185.15			0.72
187.34			0.66
188.65			0.28
189.70			0.61
190.75			0.37
191.80			0.63
192.85			0.41
193.12			0.60
193.38			0.46
194.43			0.58
195.48			0.52
196.53			0.28
196.64			0.36
197.16			0.58
197.58			0.38
198.21			0.26
198.63			0.38
198.63			0.46
199.26			0.49
