"Row.names" "dataset" "equation" "model" "type" "period" "lower" "reps" "run.no" "dep_4" "filename" "success.rate" "sigma" "N_mem" "A_mem" "a.AABW" "b.AABW" "c.AABW" "e.AABW" "a.NADW" "b.NADW" "c.NADW" "e.NADW"
"1" "LIG" "tanh" "UVic" "data" "Holocene" 122 1 "32" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.214356219129706 0.768625470203273 0.170437046863952 NA NA NA NA -0.144574038266433 0.293164244991691 -7.2787151359057e-05 -284.699496891722
"1" "LIG" "tanh" "UVic" "data" "Holocene" 122.1 1 "33" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.192159457591437 0.775129131541529 0.170650898993619 NA NA NA NA -0.0888748529623684 1.17661603483889 -0.000251784097736067 -1372.74188673957
"1" "LIG" "tanh" "UVic" "data" "Holocene" 122.2 1 "34" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.181915575567088 0.781600195669314 -0.128270497753427 NA NA NA NA -10.8277764022365 29.0864924521454 -0.0084422068635849 -24355.7409186849
"1" "LIG" "tanh" "UVic" "data" "Holocene" 122.3 1 "35" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.140307228302165 0.788455298348209 -0.122844940308738 NA NA NA NA -0.0526603701431171 -0.000418176181463988 1.13562718873942e-07 -1.17265594641635
"1" "LIG" "tanh" "UVic" "data" "Holocene" 122.4 1 "36" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.632029201388017 0.79708636000719 -0.11472678631998 NA NA NA NA 422.103297718624 -351.948514538699 0.08235581050944 360198.208502672
"1" "LIG" "tanh" "UVic" "data" "Holocene" 122.5 1 "37" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.213850612668361 0.806749132729119 -0.10169802975963 NA NA NA NA -0.135986969725637 1.89163113297866 -0.000397058699563068 -2248.21014472658
"1" "LIG" "tanh" "UVic" "data" "Holocene" 122.6 1 "38" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.643203357873062 0.89801488181381 -0.0866254211179948 NA NA NA NA 1.44525686859265 -3.44902451420641 0.000962260723558552 2969.20399307106
"1" "LIG" "tanh" "UVic" "data" "Holocene" 122.7 1 "39" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.213066642037109 0.910093347716224 -0.0682054086250078 NA NA NA NA -0.0254911128099158 0.099770938386053 -1.63803412694733e-05 -152.222568308313
"1" "LIG" "tanh" "UVic" "data" "Holocene" 122.8 1 "40" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.129522878079664 0.92189261709002 -0.0493460239836288 NA NA NA NA -0.0480048522061717 -0.000880317177097345 1.88843333866902e-07 -0.210446450392753
"1" "LIG" "tanh" "UVic" "data" "Holocene" 122.9 1 "41" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.61806165124229 0.932897105706806 -0.0326974741165133 NA NA NA NA 1.06490652940277 -2.62849641978957 0.000741224458977971 2244.70575111833
"1" "LIG" "tanh" "UVic" "data" "Holocene" 123 1 "42" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.12219857935169 0.940863851991795 -0.0157012012598056 NA NA NA NA -0.0505793008478362 -0.00108017750130848 2.26218784174987e-07 0.00832701528656692
"1" "LIG" "tanh" "UVic" "data" "Holocene" 127 1 "43" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.441327700688146 0.446428571428571 -0.00624899961099772 NA NA NA NA -1.13907108533623 -2.17173077893056 0.000291489500935887 4033.37616328749
"1" "LIG" "tanh" "UVic" "data" "Holocene" 127.1 1 "44" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.243570728677987 0.44919079700452 0.0898309278197858 NA NA NA NA -4.16233410297815 8.82067626432238 -0.0024340524426672 -7650.8867678613
"1" "LIG" "tanh" "UVic" "data" "Holocene" 127.2 1 "45" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.245173411683869 0.4573954472306 0.0692708572315943 NA NA NA NA -105.872240991921 226.573900658582 -0.0624691601588279 -196598.158356868
"1" "LIG" "tanh" "UVic" "data" "Holocene" 127.3 1 "46" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.250574259226453 0.422479936082291 0.0492935482537278 NA NA NA NA -0.342943596277064 0.449499732058383 -0.000123227226119372 -395.881142764549
"1" "LIG" "tanh" "UVic" "data" "Holocene" 127.4 1 "47" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.256762935322073 0.444308477310963 0.0289964074673099 NA NA NA NA -4.87119644162354 10.560699290691 -0.0029230787927893 -9144.88236418938
"1" "LIG" "tanh" "UVic" "data" "Holocene" 127.5 1 "48" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.242974704522844 0.445 0.00771730342746671 NA NA NA NA -0.564236393175445 0.0702718348392592 -1.99617258436375e-05 -76.7511414241981
"1" "LIG" "tanh" "UVic" "data" "Holocene" 127.6 1 "49" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.282489080316665 0.368 -0.0134510319257199 NA NA NA NA -0.0517037240372626 2.28687524353438 -0.000379487726661438 -3446.70581356513
"1" "LIG" "tanh" "UVic" "data" "Holocene" 127.7 1 "50" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.273685327999112 0.368 -0.0317841506095751 NA NA NA NA -108.96367574205 248.626077716638 -0.0696380806235809 -213457.146918865
"1" "LIG" "tanh" "UVic" "data" "Holocene" 127.8 1 "51" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.290908360243593 0.368 -0.0499157676360334 NA NA NA NA 0.0105754977374683 4.62030764116323 -0.000729188521823333 -7319.82066658515
"1" "LIG" "tanh" "UVic" "data" "Holocene" 127.9 1 "52" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.262667527007937 0.44 -0.0590811643972249 NA NA NA NA -0.173592700931834 9.5615971356763 -0.00198726699096946 -11487.8826249824
"1" "LIG" "tanh" "UVic" "data" "Holocene" 128 1 "53" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.261362922362417 0.507142857142857 -0.064385284178246 NA NA NA NA -0.342876801564267 3.437577746909 -0.00072521126461001 -4063.32880070626
"1" "LIG" "tanh" "UVic" "data" "Holocene" 128.1 1 "54" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.406874983959746 0.53 -0.0605982031710937 NA NA NA NA -0.478239775494183 -14.1771964568189 0.00178826620168467 28085.2339878472
"1" "LIG" "tanh" "UVic" "data" "Holocene" 128.2 1 "55" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.248618672988624 0.48 -0.0561537270309255 NA NA NA NA -0.0152478639767449 2.42637787530105 -0.000479972709087878 -3067.45501290016
"1" "LIG" "tanh" "UVic" "data" "Holocene" 128.3 1 "56" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.259178522407869 0.543905240373977 -0.052339771275539 NA NA NA NA -2.20509805198604 18.7505136569449 -0.00392509219356786 -22311.7721788611
"1" "LIG" "tanh" "UVic" "data" "Holocene" 128.4 1 "57" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.257995178038037 0.542764931006321 -0.0508391692211766 NA NA NA NA 0.204723609217536 0.603846157551466 -0.000169269704502993 -504.022774262081
"1" "LIG" "tanh" "UVic" "data" "Holocene" 128.5 1 "58" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.252799449422342 0.541935875856834 -0.0454132293875324 NA NA NA NA 0.0205258914303971 0.251057373109498 -6.95553424249335e-05 -215.423309990254
"1" "LIG" "tanh" "UVic" "data" "Holocene" 128.6 1 "59" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.268324366049696 0.575699216072009 -0.389974579107777 NA NA NA NA -0.310575064494116 1.77281848466349 -0.000370777961999222 -2113.64317303234
"1" "LIG" "tanh" "UVic" "data" "Holocene" 128.7 1 "60" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.218463464343006 0.520805799389277 -0.37845575315056 NA NA NA NA -0.0192388645623078 -0.00521078609804098 8.47859001035888e-07 5.78772159841521
"1" "LIG" "tanh" "UVic" "data" "Holocene" 128.8 1 "61" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.744544230239284 0.858016872296349 -0.364256617854647 NA NA NA NA -0.0119543596865251 -2.94764671110928 0.000320090855327428 6784.79113268405
"1" "LIG" "tanh" "UVic" "data" "Holocene" 128.9 1 "62" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.384274102070447 0.85710587656054 -0.220116522278715 NA NA NA NA 0.00327869455633187 11.1100606005203 -0.00142865659742664 -21599.8954233831
"1" "LIG" "tanh" "UVic" "data" "Holocene" 129 1 "63" NA "1_LIG_UVic_Holocene_data_tanh_d13C.txt" TRUE 0.193522731424947 0.85594868659013 -0.219420926496638 NA NA NA NA -0.00791306195010632 -0.00178891062461636 3.08472515043329e-07 2.08447007721134
