"Lat" "Lon" "Ocean_depth" "d13C" "count" "stdev" "run.no"
31.41415 -75.25807 3000 0.89 1 NA "8"
37.799833 -10.1665 3146 0.345 2 0.148492424049175 "8"
33.683333 -57.616667 4584 0.363 1 NA "8"
49.87776 -24.23811 3871 0.655 4 0.268390263112009 "8"
56.16 -31.99 2295 0.9 1 NA "9"
57.51 -15.85 1134 0.3 1 NA "9"
61 -24 1650 -1.17 1 NA "9"
61 -21 2658 0.93 1 NA "9"
-40.94 9.89 4621 -0.403333333333333 3 0.226789182575654 "9"
-44.15 -14.23 3783 0.31 1 NA "9"
5.91 -44.2 4056 1.1 1 NA "9"
-3.48 -7.6 4033 0.71 1 NA "9"
-5.78 -10.75 3125 0.68 1 NA "9"
49.88 -24.24 3883 0.683333333333333 3 0.176729548557488 "9"
-31.46 15.31 1372 0.23 1 NA "9"
-22.33 11.2 3204 0.51 1 NA "9"
40.05 -32 2475 0.9698 2 0.0987121066536421 "9"
41.75 -47.35 4100 0.35 1 NA "9"
-27.91 -45.88 2504 0.44 1 NA "9"
-1.34 -11.9733 3911 0.23 1 NA "9"
31.41415 -75.25807 3000 0.89 1 NA "9"
37.799833 -10.1665 3146 0.24 1 NA "9"
49.87776 -24.23811 3871 0.57 4 0.228473193175917 "9"
56.16 -31.99 2295 0.9 1 NA "10"
57.51 -15.85 1134 0.3 1 NA "10"
61 -24 1650 -1.17 1 NA "10"
61 -21 2658 0.93 1 NA "10"
-40.94 9.89 4621 -0.49 2 0.240416305603426 "10"
-44.15 -14.23 3783 0.31 1 NA "10"
5.91 -44.2 4056 1.1 1 NA "10"
-3.48 -7.6 4033 0.71 1 NA "10"
-5.78 -10.75 3125 0.68 1 NA "10"
49.88 -24.24 3883 0.625 2 0.205060966544099 "10"
-31.46 15.31 1372 0.23 1 NA "10"
-22.33 11.2 3204 0.51 1 NA "10"
40.05 -32 2475 0.9698 2 0.0987121066536421 "10"
41.75 -47.35 4100 0.35 1 NA "10"
6.13 -43.44 4503 -0.34 1 NA "10"
31.41415 -75.25807 3000 0.89 1 NA "10"
37.799833 -10.1665 3146 0.255 2 0.0212132034355964 "10"
33.683333 -57.616667 4584 0.804 1 NA "10"
49.87776 -24.23811 3871 0.57 4 0.228473193175917 "10"
56.16 -31.99 2295 0.9 1 NA "11"
57.51 -15.85 1134 0.3 1 NA "11"
61 -24 1650 -1.17 1 NA "11"
61 -21 2658 0.93 1 NA "11"
-40.94 9.89 4621 -0.49 2 0.240416305603426 "11"
-44.15 -14.23 3783 0.31 1 NA "11"
5.91 -44.2 4056 1.1 1 NA "11"
-3.48 -7.6 4033 0.71 1 NA "11"
-5.78 -10.75 3125 0.68 1 NA "11"
30.63 -12.4 2324 0.72 1 NA "11"
5.67 -19.85 2862 0.84 1 NA "11"
49.88 -24.24 3883 0.625 2 0.205060966544099 "11"
-31.46 15.31 1372 0.23 1 NA "11"
-22.33 11.2 3204 0.51 1 NA "11"
40.05 -32 2475 0.785865 2 0.161411264941453 "11"
41.75 -47.35 4100 0.155 2 0.275771644662754 "11"
-20.1 9.19 2209 0.45 1 NA "11"
6.13 -43.44 4503 -0.34 1 NA "11"
31.41415 -75.25807 3000 0.89 1 NA "11"
37.799833 -10.1665 3146 0.255 2 0.0212132034355964 "11"
33.683333 -57.616667 4584 0.804 1 NA "11"
49.87776 -24.23811 3871 0.6875 4 0.115866302262565 "11"
