lower,Lat,Lon,Ocean_depth,d13C,count,_merge,edgecolor
137.75,53.18,-19.15,2472.0,0.38,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.75,30.63,-12.4,2324.0,0.34,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.75,60.4,-23.64,1984.0,0.21,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.75,40.05,-32.0,2475.0,0.18991,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
137.75,-19.7,8.88,2675.0,-0.28,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.0,25.17,-16.85,2573.0,0.09,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.0,-23.43,11.7,2987.0,-0.11,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.0,57.51,-15.85,1134.0,1.07,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.0,60.4,-23.64,1984.0,0.96,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.0,40.05,-32.0,2475.0,0.5748800000000001,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.25,53.54,-20.29,2196.0,0.43,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.25,30.63,-12.4,2324.0,0.26,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.25,60.4,-23.64,1984.0,0.87,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.25,40.05,-32.0,2475.0,0.48,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.5,54.63,-16.35,2209.0,0.34,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.5,60.4,-23.64,1984.0,0.95,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.5,40.05,-32.0,2475.0,0.72,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.5,-10.07,-12.82,2630.0,0.73,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.75,29.98,-10.65,1512.0,0.7,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.75,53.54,-20.29,2196.0,0.41,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.75,53.18,-19.15,2472.0,0.38,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.75,-23.43,11.7,2987.0,-0.38,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.75,40.05,-32.0,2475.0,0.58184,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.75,-19.7,8.88,2675.0,-0.3,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
138.75,61.0,-21.0,2658.0,0.57,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.0,56.16,-31.99,2295.0,0.76,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.0,30.63,-12.4,2324.0,0.22,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.0,-31.46,15.31,1372.0,0.86,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.0,55.49,-14.7,2168.0,0.78,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.0,40.05,-32.0,2475.0,0.59672,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.25,53.54,-20.29,2196.0,0.52,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.25,60.4,-23.64,1984.0,0.75,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.5,-20.1,9.19,2209.0,-0.29,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.5,25.17,-16.85,2573.0,0.07,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.5,-23.43,11.7,2987.0,-0.09,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.5,60.4,-23.64,1984.0,0.825,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.5,40.05,-32.0,2475.0,0.66,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.75,5.67,-19.85,2862.0,0.29,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.75,30.63,-12.4,2324.0,0.54,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
139.75,60.4,-23.64,1984.0,0.8,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
140.0,52.55,-20.33,2841.0,0.21,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
140.0,60.4,-23.64,1984.0,0.97,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
140.25,53.54,-20.29,2196.0,0.7,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
140.25,60.4,-23.64,1984.0,0.91,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
140.25,61.0,-21.0,2658.0,0.69,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
140.5,54.63,-16.35,2209.0,0.51,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
140.5,-27.91,-45.88,2504.0,0.24,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
140.5,25.17,-16.85,2573.0,0.19,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
140.5,-23.43,11.7,2987.0,-0.29,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
140.5,30.63,-12.4,2324.0,0.47,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
140.5,60.4,-23.64,1984.0,0.87,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
140.75,60.4,-23.64,1984.0,0.95,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.0,53.54,-20.29,2196.0,0.34,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.0,53.18,-19.15,2472.0,0.31,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.0,-36.2667,19.475,2488.0,0.01,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.0,60.4,-23.64,1984.0,0.45,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.0,61.0,-21.0,2658.0,0.8,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.25,-23.43,11.7,2987.0,0.02,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.25,30.63,-12.4,2324.0,0.36,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.25,60.4,-23.64,1984.0,1.01,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.5,29.98,-10.65,1512.0,0.91,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.5,57.51,-15.85,1134.0,1.14,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.5,60.4,-23.64,1984.0,1.1800000000000002,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.75,25.17,-16.85,2573.0,0.02,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.75,56.16,-31.99,2295.0,0.89,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.75,60.4,-23.64,1984.0,1.13,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
141.75,61.0,-21.0,2658.0,0.54,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
142.0,53.54,-20.29,2196.0,0.65,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
142.0,53.18,-19.15,2472.0,0.44,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
142.0,30.63,-12.4,2324.0,0.3,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
142.0,28.89,-13.23,1358.0,0.82,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
142.0,60.4,-23.64,1984.0,1.13,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
142.25,-20.1,9.19,2209.0,0.09,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
142.25,-23.43,11.7,2987.0,-0.44,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
