Core,Lat,Lon,Ocean_depth,lower,d13C,count,regions
SU90-11,44.07,-40.02,3645.0,121.0,1.07,1.0,NWA
SU90-11,44.07,-40.02,3645.0,122.0,1.06,,NWA
SU90-11,44.07,-40.02,3645.0,123.0,1.05,1.0,NWA
SU90-11,44.07,-40.02,3645.0,124.0,0.94,,NWA
SU90-11,44.07,-40.02,3645.0,125.0,0.83,1.0,NWA
SU90-11,44.07,-40.02,3645.0,126.0,0.8666666666666666,,NWA
SU90-11,44.07,-40.02,3645.0,127.0,0.9033333333333333,,NWA
SU90-11,44.07,-40.02,3645.0,128.0,0.94,1.0,NWA
U1308,49.87776,-24.238109999999995,3871.0,118.0,0.5966666666666667,3.0,NEA
U1308,49.87776,-24.238109999999995,3871.0,119.0,0.6699999999999999,3.0,NEA
U1308,49.87776,-24.238109999999995,3871.0,120.0,0.85,3.0,NEA
U1308,49.87776,-24.238109999999995,3871.0,121.0,0.8999999999999999,4.0,NEA
U1308,49.87776,-24.238109999999995,3871.0,122.0,0.8200000000000001,4.0,NEA
U1308,49.87776,-24.238109999999995,3871.0,123.0,0.8466666666666667,6.0,NEA
U1308,49.87776,-24.238109999999995,3871.0,124.0,0.83,6.0,NEA
U1308,49.87776,-24.238109999999995,3871.0,125.0,0.6366666666666667,6.0,NEA
U1308,49.87776,-24.238109999999995,3871.0,126.0,0.5557142857142857,7.0,NEA
U1308,49.87776,-24.238109999999995,3871.0,127.0,0.6580000000000001,5.0,NEA
U1308,49.87776,-24.238109999999995,3871.0,128.0,0.526,5.0,NEA
U1308,49.87776,-24.238109999999995,3871.0,129.0,0.16,3.0,NEA
V22-174,-10.07,-12.82,2630.0,120.0,0.69,1.0,SEA
V22-174,-10.07,-12.82,2630.0,121.0,0.7833333333333333,,SEA
V22-174,-10.07,-12.82,2630.0,122.0,0.8766666666666666,,SEA
V22-174,-10.07,-12.82,2630.0,123.0,0.97,1.0,SEA
V22-174,-10.07,-12.82,2630.0,124.0,0.9099999999999999,,SEA
V22-174,-10.07,-12.82,2630.0,125.0,0.85,1.0,SEA
V22-38,-9.55,-34.25,3797.0,119.0,0.36,1.0,SWA
V22-38,-9.55,-34.25,3797.0,120.0,0.3333333333333333,,SWA
V22-38,-9.55,-34.25,3797.0,121.0,0.3066666666666667,,SWA
V22-38,-9.55,-34.25,3797.0,122.0,0.28,1.0,SWA
V22-38,-9.55,-34.25,3797.0,123.0,0.185,,SWA
V22-38,-9.55,-34.25,3797.0,124.0,0.09,1.0,SWA
V22-38,-9.55,-34.25,3797.0,125.0,0.08,,SWA
V22-38,-9.55,-34.25,3797.0,126.0,0.07,1.0,SWA
V27-20,54.0,-46.2,3510.0,119.0,0.96,1.0,NWA
V27-20,54.0,-46.2,3510.0,120.0,0.905,,NWA
V27-20,54.0,-46.2,3510.0,121.0,0.85,2.0,NWA
V27-20,54.0,-46.2,3510.0,122.0,0.77,,NWA
V27-20,54.0,-46.2,3510.0,123.0,0.69,1.0,NWA
V27-20,54.0,-46.2,3510.0,124.0,0.8,1.0,NWA
V27-20,54.0,-46.2,3510.0,125.0,0.9,1.0,NWA
V27-20,54.0,-46.2,3510.0,126.0,0.8766666666666667,,NWA
V27-20,54.0,-46.2,3510.0,127.0,0.8533333333333333,,NWA
V27-20,54.0,-46.2,3510.0,128.0,0.83,1.0,NWA
V28-56,68.033,-6.117,2941.0,120.0,0.91,1.0,NEA
V28-56,68.033,-6.117,2941.0,121.0,0.646,,NEA
V28-56,68.033,-6.117,2941.0,122.0,0.382,,NEA
V28-56,68.033,-6.117,2941.0,123.0,0.118,,NEA
V28-56,68.033,-6.117,2941.0,124.0,-0.14600000000000002,,NEA
V28-56,68.033,-6.117,2941.0,125.0,-0.41,1.0,NEA
