Core,lower,Lat,Lon,Ocean_depth,d13C,count,regions
MD96-2080,4.0,-36.2667,19.475,2488.0,0.8325,,SEA
MD96-2080,5.0,-36.2667,19.475,2488.0,0.7949999999999999,,SEA
MD96-2080,6.0,-36.2667,19.475,2488.0,0.7575,,SEA
MD96-2080,7.0,-36.2667,19.475,2488.0,0.72,1.0,SEA
NA87-22,2.0,55.48,-14.68,2161.0,1.12,1.0,NEA
NA87-22,3.0,55.48,-14.68,2161.0,1.1166666666666665,3.0,NEA
NA87-22,4.0,55.48,-14.68,2161.0,1.08,1.0,NEA
NA87-22,5.0,55.48,-14.68,2161.0,1.14,1.0,NEA
NA87-22,6.0,55.48,-14.68,2161.0,1.13,1.0,NEA
NA87-22,7.0,55.48,-14.68,2161.0,1.24,1.0,NEA
ODP925,6.0,4.2,-43.49,3040.0,1.23,1.0,NWA
ODP927,4.0,5.46,-44.48,3326.0,0.88,1.0,NWA
ODP929,4.0,5.98,-43.74,4369.0,0.64,1.0,NWA
ODP929,5.0,5.98,-43.74,4369.0,0.5733333333333334,,NWA
ODP929,6.0,5.98,-43.74,4369.0,0.5066666666666667,,NWA
ODP929,7.0,5.98,-43.74,4369.0,0.44,1.0,NWA
PS2498,2.0,-44.15,-14.23,3783.0,0.21,1.0,SA
PS2498,3.0,-44.15,-14.23,3783.0,0.22,2.0,SA
PS2498,4.0,-44.15,-14.23,3783.0,-0.035,,SA
PS2498,5.0,-44.15,-14.23,3783.0,-0.29,1.0,SA
PS2498,6.0,-44.15,-14.23,3783.0,-0.175,,SA
PS2498,7.0,-44.15,-14.23,3783.0,-0.06,1.0,SA
RC13-229,2.0,-25.5,11.3,4194.0,0.25925,4.0,SEA
RC13-229,3.0,-25.5,11.3,4194.0,0.41200000000000003,1.0,SEA
RC13-229,4.0,-25.5,11.3,4194.0,0.42400000000000004,,SEA
RC13-229,5.0,-25.5,11.3,4194.0,0.436,1.0,SEA
RC13-229,6.0,-25.5,11.3,4194.0,0.2,1.0,SEA
RC16-84,2.0,-26.7,-43.33,2438.0,1.301,1.0,SWA
RC16-84,3.0,-26.7,-43.33,2438.0,1.3279999999999998,,SWA
RC16-84,4.0,-26.7,-43.33,2438.0,1.355,1.0,SWA
RC16-84,5.0,-26.7,-43.33,2438.0,1.3285,,SWA
RC16-84,6.0,-26.7,-43.33,2438.0,1.3019999999999998,1.0,SWA
SU90-03,3.0,40.05,-32.0,2475.0,1.22,1.0,NEA
SU90-03,4.0,40.05,-32.0,2475.0,1.33,1.0,NEA
SU90-03,5.0,40.05,-32.0,2475.0,1.3250000000000002,,NEA
SU90-03,6.0,40.05,-32.0,2475.0,1.32,1.0,NEA
U1308,2.0,49.87776,-24.238109999999995,3871.0,0.8933333333333334,3.0,NEA
U1308,3.0,49.87776,-24.238109999999995,3871.0,0.855,2.0,NEA
U1308,4.0,49.87776,-24.238109999999995,3871.0,0.91,3.0,NEA
U1308,5.0,49.87776,-24.238109999999995,3871.0,1.04,2.0,NEA
U1308,6.0,49.87776,-24.238109999999995,3871.0,0.9366666666666666,3.0,NEA
U1308,7.0,49.87776,-24.238109999999995,3871.0,1.145,2.0,NEA
V22-197,2.0,14.17,-18.58,3167.0,0.67,1.0,NEA
V22-197,3.0,14.17,-18.58,3167.0,0.785,,NEA
V22-197,4.0,14.17,-18.58,3167.0,0.9,2.0,NEA
V22-197,5.0,14.17,-18.58,3167.0,1.08,1.0,NEA
V22-197,6.0,14.17,-18.58,3167.0,0.86,2.0,NEA
V22-197,7.0,14.17,-18.58,3167.0,0.62,1.0,NEA
V24-253,3.0,-26.95,-44.67,2069.0,1.2819999999999998,1.0,SWA
V24-253,4.0,-26.95,-44.67,2069.0,1.2965,,SWA
V24-253,5.0,-26.95,-44.67,2069.0,1.311,2.0,SWA
V25-59,3.0,1.37,-33.48,3824.0,0.95,1.0,NWA
V25-59,4.0,1.37,-33.48,3824.0,0.87,1.0,NWA
V25-59,5.0,1.37,-33.48,3824.0,0.85,1.0,NWA
V28-14,4.0,64.78,-29.57,1855.0,0.91,1.0,NEA
V28-14,5.0,64.78,-29.57,1855.0,0.8366666666666667,,NEA
V28-14,6.0,64.78,-29.57,1855.0,0.7633333333333333,,NEA
V28-14,7.0,64.78,-29.57,1855.0,0.69,1.0,NEA
