lower,Lat,Lon,Ocean_depth,d13C,count,_merge,edgecolor
6.5,53.18,-19.15,2472.0,1.17,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,64.8,-29.6,1893.0,1.16,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,14.5,-17.95,2384.0,0.78,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,40.58,-9.86,2465.0,0.82,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,55.48,-14.68,2161.0,1.13,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,60.4,-23.64,1984.0,0.82,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,-27.7,-46.52,1567.0,1.1,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.5,-19.7,8.88,2675.0,0.65,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,-4.0,10.0,1000.0,0.33,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,54.63,-16.35,2209.0,0.67,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,-20.1,9.19,2209.0,0.58,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,34.89,-7.82,2022.0,1.09,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,56.16,-31.99,2295.0,0.64,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,53.54,-20.29,2196.0,1.2,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,52.55,-20.33,2841.0,0.93,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,54.96,-19.76,1487.0,1.31,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,64.8,-29.6,1893.0,0.97,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,14.5,-17.95,2384.0,0.7,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,-27.51,-46.47,1268.0,1.172,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,12.09,-61.24,1299.0,0.98,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,54.25,-16.83,2393.0,1.12,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
6.75,61.0,-21.0,2658.0,1.1233333333333333,3.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.0,21.15,-18.57,2778.0,0.74,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.0,15.83,-17.86,2576.0,1.11,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.0,21.24,-18.06,1516.0,0.73,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.0,53.18,-19.15,2472.0,0.9,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.0,64.8,-29.6,1893.0,0.96,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.0,30.63,-12.4,2324.0,1.0,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.0,28.89,-13.23,1358.0,0.88,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.0,20.75,-18.58,2278.0,0.9,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.0,14.5,-17.95,2384.0,0.84,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.0,37.58,-31.84,2690.0,1.07,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.0,-36.2667,19.475,2488.0,0.72,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.0,60.4,-23.64,1984.0,0.98,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,-27.91,-45.88,2504.0,1.31,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,23.14,-17.75,2136.0,0.86,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,25.17,-16.85,2573.0,1.0166666666666666,3.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,56.16,-31.99,2295.0,0.65,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,52.55,-20.33,2841.0,1.11,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,54.96,-19.76,1487.0,1.21,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,64.8,-29.6,1893.0,1.03,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,-22.92,6.04,2505.0,0.9,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,-23.43,11.7,2987.0,0.29,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,-27.51,-46.47,1268.0,0.932,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,12.09,-61.24,1299.0,1.12,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,55.48,-14.68,2161.0,1.24,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,55.49,-14.7,2168.0,1.05,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
7.25,60.4,-23.64,1984.0,1.1,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
